id	reg	date_pass	tranche_age	nb_pass_suspit	nb_pass_tot	nb_hospit	nb_pass_h	nb_paas_f	nb_pass_tot_h	nb_pass_tot_f	nb_hospit_h	nb_hospit_f	nb_acte	nb_acte_tot	nb_acte_h	nb_acte_f	nb_acte_tot_h	nb_acte_tot_f
143	04	2020-02-25	D		43.0													
144	04	2020-02-25	E		50.0													
145	06	2020-02-25	0		127.0				54.0	73.0								
146	06	2020-02-25	A		47.0													
147	06	2020-02-25	B		61.0													
148	06	2020-02-25	C		13.0													
149	06	2020-02-25	D		1.0													
150	06	2020-02-25	E		5.0													
151	07	2020-02-25	0		21.0				15.0	6.0								
152	07	2020-02-25	A		1.0													
153	07	2020-02-25	B		15.0													
154	07	2020-02-25	C		3.0													
155	07	2020-02-25	D		1.0													
156	07	2020-02-25	E		1.0													
157	08	2020-02-25	0		19.0				10.0	9.0								
158	08	2020-02-25	A		5.0													
159	08	2020-02-25	B		7.0													
160	08	2020-02-25	C		6.0													
161	08	2020-02-25	D		1.0													
162	08	2020-02-25	E															
163	11	2020-02-25	0	1.0	7789.0			1.0	3890.0	3898.0				2107.0			908.0	1197.0
164	11	2020-02-25	A		1822.0									573.0				
165	11	2020-02-25	B		3201.0									985.0				
166	11	2020-02-25	C	1.0	1454.0									313.0				
167	11	2020-02-25	D		520.0									88.0				
168	11	2020-02-25	E		792.0									131.0				
169	24	2020-02-25	0		1640.0				805.0	834.0				480.0			233.0	247.0
170	24	2020-02-25	A		331.0									109.0				
171	24	2020-02-25	B		566.0									244.0				
172	24	2020-02-25	C		338.0									79.0				
173	24	2020-02-25	D		140.0									23.0				
174	24	2020-02-25	E		265.0									25.0				
175	27	2020-02-25	0		2107.0				1110.0	997.0				356.0			161.0	194.0
176	27	2020-02-25	A		413.0									106.0				
177	27	2020-02-25	B		692.0									122.0				
178	27	2020-02-25	C		376.0									64.0				
179	27	2020-02-25	D		232.0									23.0				
180	27	2020-02-25	E		394.0									41.0				
181	28	2020-02-25	0		2116.0				1084.0	1032.0				649.0			263.0	386.0
182	28	2020-02-25	A		424.0									172.0				
183	28	2020-02-25	B		733.0									315.0				
184	28	2020-02-25	C		407.0									91.0				
185	28	2020-02-25	D		196.0									24.0				
186	28	2020-02-25	E		356.0									47.0				
187	32	2020-02-25	0		3378.0				1735.0	1642.0				1244.0			529.0	715.0
188	32	2020-02-25	A		713.0									364.0				
189	32	2020-02-25	B		1248.0									605.0				
190	32	2020-02-25	C		610.0									181.0				
191	32	2020-02-25	D		293.0									51.0				
192	32	2020-02-25	E		513.0									37.0				
193	44	2020-02-25	0		3392.0				1669.0	1723.0				739.0			321.0	417.0
194	44	2020-02-25	A		701.0									213.0				
195	44	2020-02-25	B		1174.0									310.0				
196	44	2020-02-25	C		595.0									119.0				
197	44	2020-02-25	D		347.0									32.0				
198	44	2020-02-25	E		575.0									65.0				
199	52	2020-02-25	0		1669.0				867.0	802.0				595.0			254.0	339.0
200	52	2020-02-25	A		335.0									146.0				
201	52	2020-02-25	B		574.0									246.0				
202	52	2020-02-25	C		332.0									94.0				
203	52	2020-02-25	D		160.0									33.0				
204	52	2020-02-25	E		268.0									75.0				
205	53	2020-02-25	0		1791.0				948.0	843.0				454.0			186.0	268.0
206	53	2020-02-25	A		295.0									106.0				
207	53	2020-02-25	B		555.0									190.0				
208	53	2020-02-25	C		397.0									74.0				
209	53	2020-02-25	D		179.0									23.0				
210	53	2020-02-25	E		365.0									61.0				
211	75	2020-02-25	0		3781.0				1968.0	1813.0				1530.0			651.0	879.0
212	75	2020-02-25	A		696.0									479.0				
213	75	2020-02-25	B		1282.0									646.0				
214	75	2020-02-25	C		706.0									250.0				
215	75	2020-02-25	D		378.0									65.0				
216	75	2020-02-25	E		719.0									89.0				
217	76	2020-02-25	0		4128.0				2055.0	2073.0				440.0			170.0	266.0
218	76	2020-02-25	A		820.0									132.0				
219	76	2020-02-25	B		1571.0									191.0				
220	76	2020-02-25	C		770.0									68.0				
221	76	2020-02-25	D		383.0									18.0				
222	76	2020-02-25	E		583.0									31.0				
223	84	2020-02-25	0		5659.0				3008.0	2651.0				1220.0			524.0	688.0
224	84	2020-02-25	A		1354.0									397.0				
225	84	2020-02-25	B		2135.0									488.0				
226	84	2020-02-25	C		1039.0									171.0				
227	84	2020-02-25	D		411.0									48.0				
228	84	2020-02-25	E		720.0									110.0				
229	93	2020-02-25	0		3877.0				1982.0	1895.0				928.0			394.0	534.0
230	93	2020-02-25	A		929.0									273.0				
231	93	2020-02-25	B		1237.0									360.0				
232	93	2020-02-25	C		722.0									154.0				
233	93	2020-02-25	D		330.0									45.0				
234	93	2020-02-25	E		659.0									94.0				
235	94	2020-02-25	0		197.0				96.0	101.0				62.0			13.0	41.0
236	94	2020-02-25	A		39.0									13.0				
237	94	2020-02-25	B		58.0									34.0				
238	94	2020-02-25	C		52.0									10.0				
239	94	2020-02-25	D		15.0									4.0				
240	94	2020-02-25	E		33.0									1.0				
241	01	2020-02-26	0		270.0				132.0	138.0								
242	01	2020-02-26	A		74.0													
243	01	2020-02-26	B		100.0													
244	01	2020-02-26	C		52.0													
245	01	2020-02-26	D		19.0													
246	01	2020-02-26	E		25.0													
247	02	2020-02-26	0											102.0			43.0	59.0
248	02	2020-02-26	A											27.0				
249	02	2020-02-26	B											31.0				
250	02	2020-02-26	C											13.0				
251	02	2020-02-26	D											12.0				
252	02	2020-02-26	E											19.0				
253	03	2020-02-26	0		303.0				152.0	151.0								
254	03	2020-02-26	A		79.0													
255	03	2020-02-26	B		149.0													
256	03	2020-02-26	C		55.0													
257	03	2020-02-26	D		13.0													
258	03	2020-02-26	E		7.0													
259	04	2020-02-26	0		477.0				245.0	232.0								
260	04	2020-02-26	A		134.0													
261	04	2020-02-26	B		151.0													
262	04	2020-02-26	C		103.0													
263	04	2020-02-26	D		37.0													
264	04	2020-02-26	E		52.0													
265	06	2020-02-26	0		141.0				68.0	73.0								
266	06	2020-02-26	A		60.0													
267	06	2020-02-26	B		53.0													
268	06	2020-02-26	C		15.0													
269	06	2020-02-26	D		10.0													
270	06	2020-02-26	E		3.0													
271	07	2020-02-26	0		27.0				17.0	10.0								
272	07	2020-02-26	A		2.0													
273	07	2020-02-26	B		15.0													
274	07	2020-02-26	C		7.0													
275	07	2020-02-26	D		2.0													
276	07	2020-02-26	E		1.0													
277	08	2020-02-26	0		44.0				17.0	27.0								
278	08	2020-02-26	A		10.0													
279	08	2020-02-26	B		21.0													
280	08	2020-02-26	C		12.0													
281	08	2020-02-26	D															
282	08	2020-02-26	E		1.0													
283	11	2020-02-26	0		7615.0				3835.0	3780.0				2003.0			848.0	1150.0
284	11	2020-02-26	A		1742.0									546.0				
285	11	2020-02-26	B		3158.0									913.0				
286	11	2020-02-26	C		1457.0									347.0				
287	11	2020-02-26	D		487.0									72.0				
288	11	2020-02-26	E		771.0									113.0				
289	24	2020-02-26	0		1503.0				758.0	745.0				502.0			208.0	294.0
290	24	2020-02-26	A		299.0									105.0				
291	24	2020-02-26	B		518.0									265.0				
292	24	2020-02-26	C		267.0									79.0				
293	24	2020-02-26	D		151.0									22.0				
294	24	2020-02-26	E		268.0									30.0				
295	27	2020-02-26	0		2000.0				1033.0	966.0				320.0			144.0	176.0
296	27	2020-02-26	A		414.0									98.0				
297	27	2020-02-26	B		658.0									121.0				
298	27	2020-02-26	C		387.0									61.0				
299	27	2020-02-26	D		172.0									17.0				
300	27	2020-02-26	E		369.0									23.0				
301	28	2020-02-26	0		2129.0				1113.0	1016.0				668.0			298.0	370.0
302	28	2020-02-26	A		394.0									167.0				
303	28	2020-02-26	B		800.0									340.0				
304	28	2020-02-26	C		446.0									89.0				
305	28	2020-02-26	D		187.0									22.0				
306	28	2020-02-26	E		302.0									50.0				
307	32	2020-02-26	0		3429.0				1729.0	1700.0				1311.0			607.0	704.0
308	32	2020-02-26	A		831.0									398.0				
309	32	2020-02-26	B		1242.0									625.0				
310	32	2020-02-26	C		588.0									191.0				
311	32	2020-02-26	D		275.0									44.0				
312	32	2020-02-26	E		493.0									47.0				
313	44	2020-02-26	0		3303.0				1696.0	1607.0				752.0			311.0	441.0
314	44	2020-02-26	A		708.0									232.0				
315	44	2020-02-26	B		1141.0									300.0				
316	44	2020-02-26	C		631.0									118.0				
317	44	2020-02-26	D		293.0									33.0				
318	44	2020-02-26	E		530.0									63.0				
319	52	2020-02-26	0		1742.0				932.0	810.0				550.0			240.0	304.0
320	52	2020-02-26	A		343.0									113.0				
321	52	2020-02-26	B		604.0									257.0				
322	52	2020-02-26	C		331.0									85.0				
323	52	2020-02-26	D		160.0									27.0				
324	52	2020-02-26	E		304.0									68.0				
325	53	2020-02-26	0		1758.0				960.0	798.0				451.0			180.0	271.0
326	53	2020-02-26	A		335.0									108.0				
327	53	2020-02-26	B		550.0									193.0				
328	53	2020-02-26	C		339.0									73.0				
329	53	2020-02-26	D		186.0									21.0				
330	53	2020-02-26	E		348.0									56.0				
331	75	2020-02-26	0		3685.0				1913.0	1772.0				1570.0			667.0	903.0
332	75	2020-02-26	A		650.0									476.0				
333	75	2020-02-26	B		1253.0									646.0				
334	75	2020-02-26	C		716.0									241.0				
335	75	2020-02-26	D		343.0									76.0				
336	75	2020-02-26	E		723.0									129.0				
337	76	2020-02-26	0		4090.0				2041.0	2049.0				482.0			206.0	276.0
338	76	2020-02-26	A		907.0									134.0				
339	76	2020-02-26	B		1476.0									201.0				
340	76	2020-02-26	C		777.0									88.0				
341	76	2020-02-26	D		339.0									21.0				
342	76	2020-02-26	E		591.0									38.0				
343	84	2020-02-26	0		5491.0				2771.0	2720.0				1194.0			490.0	692.0
344	84	2020-02-26	A		1333.0									322.0				
345	84	2020-02-26	B		2018.0									513.0				
346	84	2020-02-26	C		1002.0									180.0				
347	84	2020-02-26	D		430.0									52.0				
348	84	2020-02-26	E		708.0									125.0				
349	93	2020-02-26	0		3872.0				2038.0	1834.0				864.0			332.0	532.0
350	93	2020-02-26	A		778.0									238.0				
351	93	2020-02-26	B		1274.0									312.0				
352	93	2020-02-26	C		763.0									157.0				
353	93	2020-02-26	D		350.0									62.0				
354	93	2020-02-26	E		707.0									91.0				
355	94	2020-02-26	0		212.0				110.0	102.0				46.0			14.0	27.0
356	94	2020-02-26	A		32.0									4.0				
357	94	2020-02-26	B		80.0									22.0				
358	94	2020-02-26	C		51.0									4.0				
359	94	2020-02-26	D		22.0									7.0				
360	94	2020-02-26	E		27.0									7.0				
361	01	2020-02-27	0		297.0				155.0	142.0								
362	01	2020-02-27	A		72.0													
363	01	2020-02-27	B		104.0													
364	01	2020-02-27	C		58.0													
365	01	2020-02-27	D		20.0													
366	01	2020-02-27	E		43.0													
367	02	2020-02-27	0											146.0			57.0	89.0
368	02	2020-02-27	A											31.0				
369	02	2020-02-27	B											57.0				
370	02	2020-02-27	C											28.0				
371	02	2020-02-27	D											10.0				
372	02	2020-02-27	E											20.0				
373	03	2020-02-27	0		299.0				139.0	160.0								
374	03	2020-02-27	A		73.0													
375	03	2020-02-27	B		147.0													
376	03	2020-02-27	C		53.0													
377	03	2020-02-27	D		15.0													
378	03	2020-02-27	E		11.0													
379	04	2020-02-27	0		425.0				219.0	206.0								
380	04	2020-02-27	A		117.0													
381	04	2020-02-27	B		140.0													
382	04	2020-02-27	C		84.0													
383	04	2020-02-27	D		46.0													
384	04	2020-02-27	E		38.0													
385	06	2020-02-27	0		116.0				54.0	62.0								
386	06	2020-02-27	A		42.0													
387	06	2020-02-27	B		51.0													
388	06	2020-02-27	C		14.0													
389	06	2020-02-27	D		4.0													
390	06	2020-02-27	E		5.0													
391	07	2020-02-27	0		26.0				15.0	11.0								
392	07	2020-02-27	A															
393	07	2020-02-27	B		14.0													
394	07	2020-02-27	C		5.0													
395	07	2020-02-27	D		4.0													
396	07	2020-02-27	E		3.0													
397	08	2020-02-27	0		28.0				8.0	20.0								
398	08	2020-02-27	A		8.0													
399	08	2020-02-27	B		10.0													
400	08	2020-02-27	C		6.0													
401	08	2020-02-27	D		2.0													
402	08	2020-02-27	E		2.0													
403	11	2020-02-27	0	2.0	7733.0		2.0		3871.0	3862.0				2053.0			881.0	1167.0
404	11	2020-02-27	A		1875.0									604.0				
405	11	2020-02-27	B		3237.0									909.0				
406	11	2020-02-27	C	2.0	1382.0									313.0				
407	11	2020-02-27	D		451.0									93.0				
408	11	2020-02-27	E		788.0									121.0				
409	24	2020-02-27	0		1552.0				767.0	785.0				429.0			198.0	231.0
410	24	2020-02-27	A		295.0									94.0				
411	24	2020-02-27	B		531.0									212.0				
412	24	2020-02-27	C		307.0									73.0				
413	24	2020-02-27	D		146.0									20.0				
414	24	2020-02-27	E		273.0									30.0				
415	27	2020-02-27	0		2014.0				1046.0	968.0				359.0			145.0	214.0
416	27	2020-02-27	A		420.0									109.0				
417	27	2020-02-27	B		664.0									128.0				
418	27	2020-02-27	C		377.0									60.0				
419	27	2020-02-27	D		207.0									23.0				
420	27	2020-02-27	E		346.0									38.0				
421	28	2020-02-27	0		2144.0				1037.0	1105.0				605.0			252.0	352.0
422	28	2020-02-27	A		434.0									145.0				
423	28	2020-02-27	B		758.0									294.0				
424	28	2020-02-27	C		403.0									98.0				
425	28	2020-02-27	D		209.0									18.0				
426	28	2020-02-27	E		340.0									50.0				
427	32	2020-02-27	0	1.0	3191.0			1.0	1602.0	1588.0				1219.0			543.0	676.0
428	32	2020-02-27	A		782.0									350.0				
429	32	2020-02-27	B		1107.0									602.0				
430	32	2020-02-27	C		613.0									171.0				
431	32	2020-02-27	D	1.0	239.0									46.0				
432	32	2020-02-27	E		450.0									45.0				
433	44	2020-02-27	0		3262.0				1654.0	1607.0				690.0			275.0	414.0
434	44	2020-02-27	A		704.0									198.0				
435	44	2020-02-27	B		1089.0									301.0				
436	44	2020-02-27	C		592.0									101.0				
437	44	2020-02-27	D		296.0									25.0				
438	44	2020-02-27	E		581.0									65.0				
439	52	2020-02-27	0	6.0	1652.0		3.0	3.0	845.0	807.0				576.0			210.0	359.0
440	52	2020-02-27	A		353.0									132.0				
441	52	2020-02-27	B	5.0	538.0									245.0				
442	52	2020-02-27	C	1.0	314.0									100.0				
443	52	2020-02-27	D		143.0									26.0				
444	52	2020-02-27	E		304.0									69.0				
445	53	2020-02-27	0		1867.0				958.0	909.0				485.0			190.0	295.0
446	53	2020-02-27	A		348.0									114.0				
447	53	2020-02-27	B		601.0									203.0				
448	53	2020-02-27	C		353.0									76.0				
449	53	2020-02-27	D		191.0									34.0				
450	53	2020-02-27	E		374.0									58.0				
451	75	2020-02-27	0	8.0	3757.0	1.0	4.0	4.0	1903.0	1854.0	1.0			1516.0			639.0	877.0
452	75	2020-02-27	A	1.0	626.0									381.0				
453	75	2020-02-27	B	4.0	1253.0									657.0				
454	75	2020-02-27	C	2.0	738.0									242.0				
455	75	2020-02-27	D		375.0									82.0				
456	75	2020-02-27	E	1.0	765.0	1.0								154.0				
457	76	2020-02-27	0	1.0	4098.0		1.0		2054.0	2042.0				464.0			164.0	300.0
458	76	2020-02-27	A		908.0									146.0				
459	76	2020-02-27	B	1.0	1482.0									202.0				
460	76	2020-02-27	C		767.0									67.0				
461	76	2020-02-27	D		340.0									15.0				
462	76	2020-02-27	E		601.0									34.0				
463	84	2020-02-27	0		5292.0				2725.0	2567.0				1248.0			571.0	670.0
464	84	2020-02-27	A		1220.0									350.0				
465	84	2020-02-27	B		1967.0									550.0				
466	84	2020-02-27	C		966.0									169.0				
467	84	2020-02-27	D		401.0									57.0				
468	84	2020-02-27	E		737.0									122.0				
469	93	2020-02-27	0	1.0	3780.0		1.0		1974.0	1806.0				916.0			370.0	546.0
470	93	2020-02-27	A		755.0									270.0				
471	93	2020-02-27	B		1236.0									345.0				
472	93	2020-02-27	C	1.0	770.0									160.0				
473	93	2020-02-27	D		333.0									50.0				
474	93	2020-02-27	E		686.0									84.0				
475	94	2020-02-27	0		202.0				112.0	90.0				58.0			13.0	39.0
476	94	2020-02-27	A		36.0									14.0				
477	94	2020-02-27	B		70.0									25.0				
478	94	2020-02-27	C		49.0									7.0				
479	94	2020-02-27	D		19.0									4.0				
480	94	2020-02-27	E		28.0									6.0				
481	01	2020-02-28	0		263.0				117.0	146.0								
482	01	2020-02-28	A		68.0													
483	01	2020-02-28	B		89.0													
484	01	2020-02-28	C		43.0													
485	01	2020-02-28	D		20.0													
486	01	2020-02-28	E		43.0													
487	02	2020-02-28	0											112.0			48.0	64.0
488	02	2020-02-28	A											24.0				
489	02	2020-02-28	B											38.0				
490	02	2020-02-28	C											20.0				
491	02	2020-02-28	D											9.0				
492	02	2020-02-28	E											21.0				
493	03	2020-02-28	0		261.0				133.0	128.0								
494	03	2020-02-28	A		59.0													
495	03	2020-02-28	B		126.0													
496	03	2020-02-28	C		55.0													
497	03	2020-02-28	D		8.0													
498	03	2020-02-28	E		13.0													
499	04	2020-02-28	0		521.0				245.0	276.0								
500	04	2020-02-28	A		158.0													
501	04	2020-02-28	B		157.0													
502	04	2020-02-28	C		117.0													
503	04	2020-02-28	D		42.0													
504	04	2020-02-28	E		47.0													
505	06	2020-02-28	0		119.0				66.0	53.0								
506	06	2020-02-28	A		53.0													
507	06	2020-02-28	B		45.0													
508	06	2020-02-28	C		14.0													
509	06	2020-02-28	D		5.0													
510	06	2020-02-28	E		2.0													
511	07	2020-02-28	0		15.0				10.0	5.0								
512	07	2020-02-28	A															
513	07	2020-02-28	B		9.0													
514	07	2020-02-28	C		5.0													
515	07	2020-02-28	D		1.0													
516	07	2020-02-28	E															
517	08	2020-02-28	0		28.0				14.0	14.0								
518	08	2020-02-28	A		5.0													
519	08	2020-02-28	B		8.0													
520	08	2020-02-28	C		11.0													
521	08	2020-02-28	D		4.0													
522	08	2020-02-28	E															
523	11	2020-02-28	0		7451.0				3830.0	3620.0				1749.0			739.0	1003.0
524	11	2020-02-28	A		1758.0									525.0				
525	11	2020-02-28	B		3059.0									729.0				
526	11	2020-02-28	C		1350.0									269.0				
527	11	2020-02-28	D		496.0									84.0				
528	11	2020-02-28	E		788.0									118.0				
529	24	2020-02-28	0		1515.0				775.0	739.0				464.0			202.0	262.0
530	24	2020-02-28	A		280.0									101.0				
531	24	2020-02-28	B		498.0									250.0				
532	24	2020-02-28	C		294.0									69.0				
533	24	2020-02-28	D		173.0									17.0				
534	24	2020-02-28	E		270.0									27.0				
535	27	2020-02-28	0		2142.0				1117.0	1025.0				354.0			154.0	199.0
536	27	2020-02-28	A		417.0									116.0				
537	27	2020-02-28	B		705.0									139.0				
538	27	2020-02-28	C		428.0									48.0				
539	27	2020-02-28	D		225.0									19.0				
540	27	2020-02-28	E		367.0									31.0				
541	28	2020-02-28	0	1.0	1985.0	1.0	1.0		979.0	1005.0	1.0			587.0			266.0	321.0
542	28	2020-02-28	A		386.0									171.0				
543	28	2020-02-28	B		699.0									265.0				
544	28	2020-02-28	C	1.0	385.0	1.0								91.0				
545	28	2020-02-28	D		179.0									29.0				
546	28	2020-02-28	E		336.0									31.0				
547	32	2020-02-28	0		3223.0				1593.0	1630.0				1272.0			546.0	726.0
548	32	2020-02-28	A		767.0									372.0				
549	32	2020-02-28	B		1142.0									594.0				
550	32	2020-02-28	C		572.0									178.0				
551	32	2020-02-28	D		290.0									50.0				
552	32	2020-02-28	E		451.0									62.0				
553	44	2020-02-28	0	4.0	3394.0		2.0	2.0	1676.0	1718.0				685.0			294.0	388.0
554	44	2020-02-28	A	2.0	718.0									208.0				
555	44	2020-02-28	B	1.0	1074.0									287.0				
556	44	2020-02-28	C		662.0									92.0				
557	44	2020-02-28	D	1.0	323.0									33.0				
558	44	2020-02-28	E		617.0									59.0				
559	52	2020-02-28	0	15.0	1668.0		10.0	5.0	858.0	809.0				531.0			229.0	297.0
560	52	2020-02-28	A	2.0	341.0									138.0				
561	52	2020-02-28	B	8.0	559.0									214.0				
562	52	2020-02-28	C	5.0	320.0									83.0				
563	52	2020-02-28	D		173.0									25.0				
564	52	2020-02-28	E		275.0									70.0				
565	53	2020-02-28	0		1717.0				887.0	830.0				505.0			221.0	284.0
566	53	2020-02-28	A		335.0									120.0				
567	53	2020-02-28	B		562.0									220.0				
568	53	2020-02-28	C		319.0									86.0				
569	53	2020-02-28	D		174.0									28.0				
570	53	2020-02-28	E		327.0									51.0				
571	75	2020-02-28	0	5.0	3703.0		3.0	2.0	1910.0	1793.0				1606.0			696.0	910.0
572	75	2020-02-28	A	1.0	597.0									470.0				
573	75	2020-02-28	B	2.0	1242.0									674.0				
574	75	2020-02-28	C	2.0	753.0									249.0				
575	75	2020-02-28	D		377.0									67.0				
576	75	2020-02-28	E		734.0									142.0				
577	76	2020-02-28	0	1.0	4202.0		1.0		2112.0	2090.0				519.0			215.0	304.0
578	76	2020-02-28	A		862.0									177.0				
579	76	2020-02-28	B		1375.0									228.0				
580	76	2020-02-28	C	1.0	852.0									61.0				
581	76	2020-02-28	D		430.0									17.0				
582	76	2020-02-28	E		683.0									35.0				
583	84	2020-02-28	0	1.0	5600.0	1.0	1.0		2854.0	2746.0	1.0			1099.0			492.0	600.0
584	84	2020-02-28	A		1348.0									325.0				
