id	dep	date_pass	tranche_age	nb_pass_suspit	nb_pass_tot	nb_hospit	nb_pass_h	nb_pass_f	nb_pass_tot_h	nb_pass_tot_f	nb_hospit_h	nb_hospit_f	nb_acte	nb_acte_tot	nb_acte_h	nb_acte_f	nb_acte_tot_h	nb_acte_tot_f
240	39	2020-01-24	E	0	51	0												
241	40	2020-01-24	0	0	219	0	0	0	113	106	0	0						
242	40	2020-01-24	A	0	45	0												
243	40	2020-01-24	B	0	70	0												
244	40	2020-01-24	C	0	41	0												
245	40	2020-01-24	D	0	14	0												
246	40	2020-01-24	E	0	49	0												
247	41	2020-01-24	0	0	245	0	0	0	117	128	0	0						
248	41	2020-01-24	A	0	39	0												
249	41	2020-01-24	B	0	96	0												
250	41	2020-01-24	C	0	42	0												
251	41	2020-01-24	D	0	24	0												
252	41	2020-01-24	E	0	44	0												
253	42	2020-01-24	0	0	947	0	0	0	506	441	0	0	0	163	0	0	81	73
254	42	2020-01-24	A	0	205	0							0	46				
255	42	2020-01-24	B	0	341	0							0	55				
256	42	2020-01-24	C	0	177	0							0	20				
257	42	2020-01-24	D	0	88	0							0	15				
258	42	2020-01-24	E	0	136	0							0	27				
259	43	2020-01-24	0	0	25	0	0	0	15	10	0	0						
260	43	2020-01-24	A	0	1	0												
261	43	2020-01-24	B	0	9	0												
262	43	2020-01-24	C	0	8	0												
263	43	2020-01-24	D	0	5	0												
264	43	2020-01-24	E	0	2	0												
265	44	2020-01-24	0	0	600	0	0	0	322	278	0	0	0	599	0	0	261	330
266	44	2020-01-24	A	0	141	0							0	131				
267	44	2020-01-24	B	0	217	0							0	256				
268	44	2020-01-24	C	0	115	0							0	109				
269	44	2020-01-24	D	0	51	0							0	31				
270	44	2020-01-24	E	0	76	0							0	72				
271	45	2020-01-24	0	0	424	0	0	0	222	202	0	0	0	62	0	0	37	25
272	45	2020-01-24	A	0	90	0							0	6				
273	45	2020-01-24	B	0	155	0							0	29				
274	45	2020-01-24	C	0	76	0							0	16				
275	45	2020-01-24	D	0	33	0							0	1				
276	45	2020-01-24	E	0	70	0							0	10				
277	46	2020-01-24	0	0	122	0	0	0	67	55	0	0						
278	46	2020-01-24	A	0	19	0												
279	46	2020-01-24	B	0	37	0												
280	46	2020-01-24	C	0	23	0												
281	46	2020-01-24	D	0	20	0												
282	46	2020-01-24	E	0	23	0												
283	47	2020-01-24	0	0	263	0	0	0	147	116	0	0						
284	47	2020-01-24	A	0	34	0												
285	47	2020-01-24	B	0	102	0												
286	47	2020-01-24	C	0	60	0												
287	47	2020-01-24	D	0	25	0												
288	47	2020-01-24	E	0	42	0												
289	48	2020-01-24	0	0	49	0	0	0	25	24	0	0						
290	48	2020-01-24	A	0	9	0												
291	48	2020-01-24	B	0	16	0												
292	48	2020-01-24	C	0	13	0												
293	48	2020-01-24	D	0	5	0												
294	48	2020-01-24	E	0	6	0												
295	49	2020-01-24	0	0	406	0	0	0	193	213	0	0						
296	49	2020-01-24	A	0	97	0												
297	49	2020-01-24	B	0	144	0												
298	49	2020-01-24	C	0	73	0												
299	49	2020-01-24	D	0	33	0												
300	49	2020-01-24	E	0	59	0												
301	50	2020-01-24	0	0	441	0	0	0	234	207	0	0	0	196	0	0	90	106
302	50	2020-01-24	A	0	75	0							0	39				
303	50	2020-01-24	B	0	163	0							0	81				
304	50	2020-01-24	C	0	97	0							0	44				
305	50	2020-01-24	D	0	38	0							0	13				
306	50	2020-01-24	E	0	68	0							0	19				
307	51	2020-01-24	0	0	347	0	0	0	185	162	0	0	0	50	0	0	22	28
308	51	2020-01-24	A	0	83	0							0	20				
309	51	2020-01-24	B	0	133	0							0	20				
310	51	2020-01-24	C	0	62	0							0	4				
311	51	2020-01-24	D	0	28	0							0	4				
312	51	2020-01-24	E	0	41	0							0	2				
313	52	2020-01-24	0	0	131	0	0	0	72	59	0	0						
314	52	2020-01-24	A	0	21	0												
315	52	2020-01-24	B	0	47	0												
316	52	2020-01-24	C	0	28	0												
317	52	2020-01-24	D	0	13	0												
318	52	2020-01-24	E	0	22	0												
319	53	2020-01-24	0	0	86	0	0	0	42	44	0	0						
320	53	2020-01-24	A	0	3	0												
321	53	2020-01-24	B	0	38	0												
322	53	2020-01-24	C	0	28	0												
323	53	2020-01-24	D	0	5	0												
324	53	2020-01-24	E	0	12	0												
325	54	2020-01-24	0	0	419	0	0	0	227	192	0	0	0	155	0	0	56	99
326	54	2020-01-24	A	0	83	0							0	43				
327	54	2020-01-24	B	0	133	0							0	49				
328	54	2020-01-24	C	0	103	0							0	37				
329	54	2020-01-24	D	0	38	0							0	13				
330	54	2020-01-24	E	0	62	0							0	13				
331	55	2020-01-24	0	0	107	0	0	0	47	60	0	0						
332	55	2020-01-24	A	0	12	0												
333	55	2020-01-24	B	0	43	0												
334	55	2020-01-24	C	0	25	0												
335	55	2020-01-24	D	0	10	0												
336	55	2020-01-24	E	0	17	0												
337	56	2020-01-24	0	0	395	0	0	0	204	191	0	0	0	99	0	0	44	55
338	56	2020-01-24	A	0	69	0							0	26				
339	56	2020-01-24	B	0	132	0							0	38				
340	56	2020-01-24	C	0	83	0							0	17				
341	56	2020-01-24	D	0	40	0							0	8				
342	56	2020-01-24	E	0	71	0							0	10				
343	57	2020-01-24	0	0	775	0	0	0	402	373	0	0						
344	57	2020-01-24	A	0	199	0												
345	57	2020-01-24	B	0	273	0												
346	57	2020-01-24	C	0	137	0												
347	57	2020-01-24	D	0	71	0												
348	57	2020-01-24	E	0	95	0												
349	58	2020-01-24	0	0	229	0	0	0	139	90	0	0						
350	58	2020-01-24	A	0	46	0												
351	58	2020-01-24	B	0	81	0												
352	58	2020-01-24	C	0	35	0												
353	58	2020-01-24	D	0	20	0												
354	58	2020-01-24	E	0	47	0												
355	59	2020-01-24	0	0	2188	0	0	0	1139	1049	0	0	0	794	0	0	340	454
356	59	2020-01-24	A	0	556	0							0	249				
357	59	2020-01-24	B	0	807	0							0	419				
358	59	2020-01-24	C	0	384	0							0	84				
359	59	2020-01-24	D	0	164	0							0	23				
360	59	2020-01-24	E	0	277	0							0	17				
361	60	2020-01-24	0	0	275	0	0	0	137	138	0	0						
362	60	2020-01-24	A	0	18	0												
363	60	2020-01-24	B	0	136	0												
364	60	2020-01-24	C	0	62	0												
365	60	2020-01-24	D	0	16	0												
366	60	2020-01-24	E	0	43	0												
367	61	2020-01-24	0	0	168	0	0	0	88	80	0	0						
368	61	2020-01-24	A	0	13	0												
369	61	2020-01-24	B	0	76	0												
370	61	2020-01-24	C	0	43	0												
371	61	2020-01-24	D	0	11	0												
372	61	2020-01-24	E	0	25	0												
373	62	2020-01-24	0	0	512	0	0	0	258	253	0	0						
374	62	2020-01-24	A	0	87	0												
375	62	2020-01-24	B	0	174	0												
376	62	2020-01-24	C	0	122	0												
377	62	2020-01-24	D	0	54	0												
378	62	2020-01-24	E	0	75	0												
379	63	2020-01-24	0	0	190	0	0	0	103	87	0	0	0	140	0	0	58	82
380	63	2020-01-24	A	0	79	0							0	39				
381	63	2020-01-24	B	0	51	0							0	65				
382	63	2020-01-24	C	0	26	0							0	18				
383	63	2020-01-24	D	0	14	0							0	6				
384	63	2020-01-24	E	0	20	0							0	12				
385	64	2020-01-24	0	0	540	0	0	0	298	242	0	0	0	382	0	0	155	227
386	64	2020-01-24	A	0	121	0							0	104				
387	64	2020-01-24	B	0	171	0							0	160				
388	64	2020-01-24	C	0	95	0							0	65				
389	64	2020-01-24	D	0	54	0							0	15				
390	64	2020-01-24	E	0	99	0							0	37				
391	65	2020-01-24	0	0	174	0	0	0	101	73	0	0						
392	65	2020-01-24	A	0	30	0												
393	65	2020-01-24	B	0	62	0												
394	65	2020-01-24	C	0	39	0												
395	65	2020-01-24	D	0	26	0												
396	65	2020-01-24	E	0	17	0												
397	66	2020-01-24	0	0	435	0	0	0	220	215	0	0	0	110	0	0	51	59
398	66	2020-01-24	A	0	78	0							0	39				
399	66	2020-01-24	B	0	143	0							0	37				
400	66	2020-01-24	C	0	95	0							0	17				
401	66	2020-01-24	D	0	42	0							0	8				
402	66	2020-01-24	E	0	77	0							0	9				
403	67	2020-01-24	0	0	547	0	0	0	277	270	0	0	0	289	0	0	150	139
404	67	2020-01-24	A	0	115	0							0	76				
405	67	2020-01-24	B	0	186	0							0	126				
406	67	2020-01-24	C	0	99	0							0	40				
407	67	2020-01-24	D	0	52	0							0	12				
408	67	2020-01-24	E	0	95	0							0	31				
409	68	2020-01-24	0	0	493	0	0	0	261	232	0	0	0	134	0	0	55	76
410	68	2020-01-24	A	0	115	0							0	42				
411	68	2020-01-24	B	0	151	0							0	56				
412	68	2020-01-24	C	0	107	0							0	25				
413	68	2020-01-24	D	0	39	0							0	2				
414	68	2020-01-24	E	0	81	0							0	9				
415	69	2020-01-24	0	0	1559	0	0	0	822	737	0	0	0	385	0	0	170	215
416	69	2020-01-24	A	0	383	0							0	125				
417	69	2020-01-24	B	0	600	0							0	161				
418	69	2020-01-24	C	0	286	0							0	35				
419	69	2020-01-24	D	0	100	0							0	15				
420	69	2020-01-24	E	0	190	0							0	44				
421	70	2020-01-24	0	0	158	0	0	0	80	78	0	0						
422	70	2020-01-24	A	0	26	0												
423	70	2020-01-24	B	0	49	0												
424	70	2020-01-24	C	0	37	0												
425	70	2020-01-24	D	0	18	0												
426	70	2020-01-24	E	0	28	0												
427	71	2020-01-24	0	0	515	0	0	0	282	233	0	0						
428	71	2020-01-24	A	0	107	0												
429	71	2020-01-24	B	0	175	0												
430	71	2020-01-24	C	0	94	0												
431	71	2020-01-24	D	0	57	0												
432	71	2020-01-24	E	0	82	0												
433	72	2020-01-24	0	0	349	0	0	0	181	168	0	0						
434	72	2020-01-24	A	0	86	0												
435	72	2020-01-24	B	0	101	0												
436	72	2020-01-24	C	0	60	0												
437	72	2020-01-24	D	0	34	0												
438	72	2020-01-24	E	0	68	0												
439	73	2020-01-24	0	0	426	0	0	0	206	220	0	0	0	165	0	0	75	90
440	73	2020-01-24	A	0	84	0							0	80				
441	73	2020-01-24	B	0	174	0							0	56				
442	73	2020-01-24	C	0	105	0							0	18				
443	73	2020-01-24	D	0	35	0							0	4				
444	73	2020-01-24	E	0	28	0							0	7				
445	74	2020-01-24	0	0	977	0	0	0	539	438	0	0	0	190	0	0	83	106
446	74	2020-01-24	A	0	226	0							0	53				
447	74	2020-01-24	B	0	369	0							0	95				
448	74	2020-01-24	C	0	197	0							0	21				
449	74	2020-01-24	D	0	84	0							0	8				
450	74	2020-01-24	E	0	101	0							0	13				
451	75	2020-01-24	0	0	1689	0	0	0	902	787	0	0	0	1444	0	0	620	823
452	75	2020-01-24	A	0	353	0							0	332				
453	75	2020-01-24	B	0	675	0							0	640				
454	75	2020-01-24	C	0	325	0							0	289				
455	75	2020-01-24	D	0	156	0							0	68				
456	75	2020-01-24	E	0	180	0							0	97				
457	76	2020-01-24	0	0	1238	0	0	0	618	620	0	0	0	143	0	0	66	77
458	76	2020-01-24	A	0	285	0							0	45				
459	76	2020-01-24	B	0	458	0							0	66				
460	76	2020-01-24	C	0	226	0							0	17				
461	76	2020-01-24	D	0	124	0							0	8				
462	76	2020-01-24	E	0	145	0							0	7				
463	77	2020-01-24	0	0	632	0	0	0	315	317	0	0	0	270	0	0	125	143
464	77	2020-01-24	A	0	133	0							0	91				
465	77	2020-01-24	B	0	263	0							0	128				
466	77	2020-01-24	C	0	105	0							0	36				
467	77	2020-01-24	D	0	55	0							0	7				
468	77	2020-01-24	E	0	76	0							0	6				
469	78	2020-01-24	0	0	1005	0	0	0	518	487	0	0	0	218	0	0	100	118
470	78	2020-01-24	A	0	245	0							0	68				
471	78	2020-01-24	B	0	392	0							0	90				
472	78	2020-01-24	C	0	198	0							0	42				
473	78	2020-01-24	D	0	58	0							0	8				
474	78	2020-01-24	E	0	112	0							0	10				
475	79	2020-01-24	0	0	293	0	0	0	170	123	0	0						
476	79	2020-01-24	A	0	56	0												
477	79	2020-01-24	B	0	99	0												
478	79	2020-01-24	C	0	64	0												
479	79	2020-01-24	D	0	26	0												
480	79	2020-01-24	E	0	48	0												
481	80	2020-01-24	0	0	410	0	0	0	229	181	0	0	0	367	0	0	140	227
482	80	2020-01-24	A	0	83	0							0	92				
483	80	2020-01-24	B	0	170	0							0	167				
484	80	2020-01-24	C	0	71	0							0	75				
485	80	2020-01-24	D	0	34	0							0	18				
486	80	2020-01-24	E	0	52	0							0	15				
487	81	2020-01-24	0	0	314	0	0	0	148	166	0	0						
488	81	2020-01-24	A	0	56	0												
489	81	2020-01-24	B	0	104	0												
490	81	2020-01-24	C	0	67	0												
491	81	2020-01-24	D	0	37	0												
492	81	2020-01-24	E	0	50	0												
493	82	2020-01-24	0	0	231	0	0	0	107	124	0	0						
494	82	2020-01-24	A	0	50	0												
495	82	2020-01-24	B	0	78	0												
496	82	2020-01-24	C	0	46	0												
497	82	2020-01-24	D	0	19	0												
498	82	2020-01-24	E	0	37	0												
499	83	2020-01-24	0	0	801	0	0	0	434	367	0	0	0	544	0	0	234	310
500	83	2020-01-24	A	0	164	0							0	144				
501	83	2020-01-24	B	0	248	0							0	208				
502	83	2020-01-24	C	0	153	0							0	83				
503	83	2020-01-24	D	0	91	0							0	39				
504	83	2020-01-24	E	0	145	0							0	59				
505	84	2020-01-24	0	0	646	0	0	0	340	306	0	0	0	5	0	0	2	3
506	84	2020-01-24	A	0	143	0												
507	84	2020-01-24	B	0	226	0												
508	84	2020-01-24	C	0	107	0												
509	84	2020-01-24	D	0	60	0							0	1				
510	84	2020-01-24	E	0	110	0							0	4				
511	85	2020-01-24	0	0	418	0	0	0	228	190	0	0						
512	85	2020-01-24	A	0	61	0												
513	85	2020-01-24	B	0	158	0												
514	85	2020-01-24	C	0	95	0												
515	85	2020-01-24	D	0	36	0												
516	85	2020-01-24	E	0	68	0												
517	86	2020-01-24	0	0	274	0	0	0	143	131	0	0						
518	86	2020-01-24	A	0	59	0												
519	86	2020-01-24	B	0	90	0												
520	86	2020-01-24	C	0	46	0												
521	86	2020-01-24	D	0	28	0												
522	86	2020-01-24	E	0	51	0												
523	87	2020-01-24	0	0	329	0	0	0	168	161	0	0	0	255	0	0	115	140
524	87	2020-01-24	A	0	80	0							0	87				
525	87	2020-01-24	B	0	116	0							0	116				
526	87	2020-01-24	C	0	59	0							0	29				
527	87	2020-01-24	D	0	28	0							0	14				
528	87	2020-01-24	E	0	46	0							0	9				
529	88	2020-01-24	0	0	301	0	0	0	148	153	0	0						
530	88	2020-01-24	A	0	71	0												
531	88	2020-01-24	B	0	79	0												
532	88	2020-01-24	C	0	63	0												
533	88	2020-01-24	D	0	30	0												
534	88	2020-01-24	E	0	58	0												
535	89	2020-01-24	0	0	438	0	0	0	241	197	0	0	0	111	0	0	61	50
536	89	2020-01-24	A	0	134	0							0	35				
537	89	2020-01-24	B	0	130	0							0	43				
538	89	2020-01-24	C	0	73	0							0	23				
539	89	2020-01-24	D	0	40	0							0	7				
540	89	2020-01-24	E	0	61	0							0	3				
541	90	2020-01-24	0	0	202	0	0	0	99	103	0	0						
542	90	2020-01-24	A	0	15	0												
543	90	2020-01-24	B	0	82	0												
544	90	2020-01-24	C	0	44	0												
545	90	2020-01-24	D	0	20	0												
546	90	2020-01-24	E	0	41	0												
547	91	2020-01-24	0	0	800	0	0	0	396	404	0	0	0	138	0	0	64	74
548	91	2020-01-24	A	0	148	0							0	49				
549	91	2020-01-24	B	0	363	0							0	51				
550	91	2020-01-24	C	0	164	0							0	22				
551	91	2020-01-24	D	0	45	0							0	9				
552	91	2020-01-24	E	0	80	0							0	7				
553	92	2020-01-24	0	0	1167	0	0	0	602	565	0	0						
554	92	2020-01-24	A	0	360	0												
555	92	2020-01-24	B	0	437	0												
556	92	2020-01-24	C	0	195	0												
557	92	2020-01-24	D	0	67	0												
558	92	2020-01-24	E	0	108	0												
559	93	2020-01-24	0	0	1271	0	0	0	630	641	0	0						
560	93	2020-01-24	A	0	348	0												
